name,email,alternate_emails,phone,website,email_status,review_status,review_reasons
,,,,,,READY,
Finco,,,28 244 193,https://finco.tn/,,READY,
Mint IT,contact@mintit.io,Tunisiacontact@mint.io,71 891 743,http://www.mintit.io/,MATCH,REVIEW,multiple email domains
Lexa Technologies,info@lexa.tn,,51 837 690,https://www.lexa.tn/,MATCH,READY,
Medius,info.france@medius.com,,+33 1 85 09 28 40,https://www.expensya.com/,REVIEW,REVIEW,email domain differs from website
Campion-Tech,contact@campion-tech.com,,25 004 924,http://campion-tech.com/page/about-us,MATCH,READY,
Swiver,info@swiver.io,,36 018 000,https://swiver.io/,MATCH,READY,
Cynoia,Contact@cynoia.com,,,https://cynoia.com/,MATCH,READY,
Logidas - Éditeur d'ERP,,,71 960 626,http://www.logidas.com/,,READY,
Oolab Tunisia,,,71 781 187,https://www.oodrive.com/fr/,,READY,
STEPS,contact@steps.tn,,31 318 701,https://www.steps.tn/,MATCH,READY,
Ingenius IT - Société informatique Tunisie,contact@ingeniusit.com,,92 682 923,https://ingeniusit.com/,MATCH,READY,
Prodware Tunisia,,,70 297 062,https://sinopesoft.com/,,READY,
VERMEG Tunisia,communication@vermeg.com,,71 160 600,http://www.vermeg.com/,MATCH,READY,
CYBERESA,info@cyberesa.net,,71 947 401,http://www.cyberesa.net/,MATCH,READY,
DECADE Tunisie,,,,,,READY,
Think Tank Business Solutions,info@thinktank.de,,71 784 726,http://www.thinktank.de/,MATCH,READY,
littlewolf.tech Tunisia,info@littlewolf.tech,,98 321 825,https://littlewolf.tech/,MATCH,READY,
Sopra HR Software Tunisie,,,71 167 300,http://soprahr.com/,,READY,
Eezee-it Tunis - Odoo Partner,info@eezee-it.com,,,https://eezee-it.com/,MATCH,READY,
ITSolution Tunisie,commercial@itsolution-tn.com,,23 689 978,http://www.itsolution-tn.com/,MATCH,READY,
Hannibal advanced solutions : Agence Web Tunisie,contact@hannibaladvanced.com,,29 316 499,http://hannibaladvanced.com/,MATCH,READY,
Massar Digital,contact@massar-digital.com,,58 135 908,https://massar-digital.com/,MATCH,READY,
RFIDIA,contact@rfidia.com,,27 224 949,https://www.rfidia.com/,MATCH,READY,
Axynoxia,contact@axynoxia.com,,54 886 068,https://axynoxia.com/,MATCH,READY,
Mediasoft,info@mediasoft.tn,,52 444 444,http://mediasoft.tn/,MATCH,READY,
WinSoft Informatique,contact@winsoftinformatique.tn,,71 712 227,http://www.winsoftinformatique.tn/,MATCH,READY,
IGA Tunisie,,,31 301 502,https://www.iga-tunisie.com/,,READY,
1Spatial Tunisia Software Services,,,,,,READY,
C.A.T - Cloud Antivirus Technologies - Avast Tunisie,,,21 590 600,https://www.avast-tn.com/,,READY,
RFC,,,36 060 606,,,READY,
Wadits,,,54 910 136,,,READY,
INTERACT,contact@interact.tn,,70 814 614,http://www.interact.tn/,MATCH,READY,
SAFOZI - Rock Solid Cloud Infrastructure,Support@safozi.com,,70 036 675,https://www.safozi.com/,MATCH,READY,
MAZMA Technologies,,,22 970 241,http://mazma.fr/,,READY,
Linckia Tunisie,contact@linckia.tn,,20 735 553,http://www.linckia.tn/,MATCH,READY,
Dune Technology,hey@dunetech.co.uk,,,https://www.dunetech.co.uk/,MATCH,READY,
NeoXam,privacy@neoxam.com,,71 116 300,http://www.neoxam.com/,MATCH,READY,
IDEAL CONCEPTION,contact@idealconception.com,,73 204 210,http://www.idealconception.com/,MATCH,READY,
Wizio Digital Services,contact@wizio.tn,,93 476 606,https://wizio.tn/,MATCH,READY,
Softylines DEV,ask@softylines.com,,20 133 133,http://www.softylines.com/,MATCH,READY,
ITGate,contact@itgate-group.com,,73 325 001,https://itgate-group.com/,MATCH,READY,
Smoft ERP,contact@smoft.tn,,73 240 854,https://www.smoft.tn/,MATCH,READY,
Bizup,contact@bizup.tn,,98 991 922,https://www.bizup.tn/,MATCH,READY,
Celestial Wave Digital,celestialwavedigital@gmail.com,,50 740 663,http://www.celestialwavedigital.com/,REVIEW,REVIEW,email domain differs from website
SIMSOFT Technologies Tunisie,commercial@simsoft.com.tn,,73 213 688,http://www.simsoft.com.tn/,MATCH,READY,
Evoplast sousse,info@whitecapetech.com,,31 208 888,https://whitecapetech.com/,MATCH,READY,
Stravos,,,,https://stravos.io/,,READY,
Barthauer Software Tunisia S.A.R.L.,,,73 368 910,http://www.bs-tunisia.com/,,READY,
Proxym-IT,,,36 015 050,http://www.proxym-group.com/,,READY,
Nachd IT,IT@gmail.net,,27 751 305,http://www.nachd-it.com/,REVIEW,REVIEW,email domain differs from website
Apeiron Technologies (Développement de logiciel),contact@apeiron-tech.com,,51 885 885,https://www.apeiron-tech.com/,MATCH,READY,
VAERDIA,contact@vaerdia.com,,73 368 132,https://www.vaerdia.com/,MATCH,READY,
ASM Sousse - All Soft Multimedia - Ingénierie logicielle,sav@asm-tunisie.com,,92 242 610,https://asmpos.com/,REVIEW,REVIEW,email domain differs from website
ENVAST,,,21 267 722,http://www.envast.tn/,,READY,
InSoDev,,,,,,READY,
EducaPlus Tunisie,,,55 899 090,,,READY,
Valomnia Labs - Apptiv-IT,contact@valomnia.com,,,http://www.valomnia.com/,MATCH,READY,
DevXperts : Société d’Outsourcing des Ressources TI,IKchaou@devxperts.tn,,50 346 313,https://devxperts.tn/,MATCH,READY,
Softtodo,contact@softtodo.com,,74 660 544,http://softtodo.com/,MATCH,READY,
PIVA Software,sales@pivasoftware.com,,74 611 029,http://pivasoftware.com/,MATCH,READY,
PixiMind,,,31 587 777,https://www.piximind.com/,,READY,
ABS COMPUTER,contact@abscomputer.tn,,70 015 081,http://www.abscomputer.co/,REVIEW,REVIEW,email domain differs from website
Business Software,contact@businessoftware.com.tn,,74 452 209,http://www.businessoftware.com.tn/,MATCH,READY,
IDEAL SOFTWARE SOLUTIONS,,,28 814 500,,,READY,
A2SOFT,Contact@a2soft.tn,,74 400 336,http://www.a2soft.tn/,MATCH,READY,
ZETA-BOX,contact@zeta-box.com,,29 009 390,https://zeta-box.com/,MATCH,READY,
SfaxSoft,,,54 443 877,http://www.sfaxsoft.com/,,READY,
ICT Technologies,contact@ict.com.tn,,26 219 632,http://www.ict.com.tn/,MATCH,READY,
INFOSOFT,,,70 032 511,https://www.infosoft.tn/,,READY,
GREATSOFT,contact@greatsoft.com.tn,,22 247 041,http://www.greatsoft.com.tn/,MATCH,READY,
